Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
351,CNN_model,3 hours,0.0,4.23,4.23,2.0,,-inf,17.93
351,CNN_model,6 hours,0.45,4.32,4.32,1.69,1.0,-5.09,18.64
351,CNN_model,12 hours,0.7,3.3,3.47,1.7,0.96,-0.62,12.03
351,CNN_model,24 hours,0.77,2.68,2.99,1.73,0.89,0.19,8.91
351,CNN_model,36 hours,0.8,2.84,3.11,1.72,0.6,0.33,9.66
351,CNN_model,72 hours,0.86,1.99,2.46,1.74,0.67,0.44,6.05
351,CNN_model,120 hours,0.89,1.51,2.03,1.73,0.74,0.53,4.12
783,CNN_model,3 hours,0.0,1.89,1.89,2.0,,-inf,3.56
783,CNN_model,6 hours,0.87,1.0,1.34,1.7,1.0,0.79,1.79
783,CNN_model,12 hours,0.94,0.62,0.96,1.79,0.99,0.93,0.93
783,CNN_model,24 hours,0.91,1.05,1.47,1.79,0.97,0.84,2.16
783,CNN_model,36 hours,0.9,1.18,1.57,1.79,0.98,0.82,2.45
783,CNN_model,72 hours,0.91,1.08,1.41,1.8,0.97,0.86,1.98
783,CNN_model,120 hours,0.91,1.22,1.67,1.8,0.88,0.77,2.79
199,CNN_model,3 hours,0.0,2.29,2.29,2.0,,-inf,5.24
199,CNN_model,6 hours,0.52,1.89,1.93,1.19,1.0,-2.73,3.73
199,CNN_model,12 hours,0.87,1.04,1.37,1.66,1.0,0.72,1.88
199,CNN_model,24 hours,0.87,1.19,1.52,1.71,0.97,0.7,2.3
199,CNN_model,36 hours,0.86,1.36,1.7,1.68,0.93,0.65,2.89
199,CNN_model,72 hours,0.86,1.42,1.74,1.68,0.75,0.55,3.01
199,CNN_model,120 hours,0.86,1.5,1.8,1.72,0.72,0.5,3.24
614,CNN_model,3 hours,0.0,1.29,1.29,2.0,,-inf,1.67
614,CNN_model,6 hours,0.7,2.2,2.38,0.26,1.0,0.02,5.67
614,CNN_model,12 hours,0.8,1.83,1.97,1.68,0.82,0.44,3.9
614,CNN_model,24 hours,0.88,1.13,1.43,1.74,0.84,0.63,2.05
614,CNN_model,36 hours,0.87,1.51,1.91,1.76,0.78,0.52,3.67
614,CNN_model,72 hours,0.87,1.64,1.95,1.75,0.79,0.61,3.79
614,CNN_model,120 hours,0.88,1.5,1.93,1.76,0.76,0.56,3.72
