Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
563,CNN_model,3 hours,0.0,0.86,0.86,2.0,,-inf,0.75
563,CNN_model,6 hours,0.08,1.15,1.18,0.75,1.0,-560.39,1.4
563,CNN_model,12 hours,0.89,1.14,1.21,1.8,0.98,0.88,1.48
563,CNN_model,24 hours,0.87,1.55,1.77,1.79,0.87,0.73,3.14
563,CNN_model,36 hours,0.87,1.58,1.78,1.79,0.9,0.73,3.15
563,CNN_model,72 hours,0.86,1.79,1.97,1.79,0.9,0.64,3.9
563,CNN_model,120 hours,0.89,1.44,1.71,1.78,0.88,0.71,2.93
651,CNN_model,3 hours,0.0,2.82,2.82,2.0,,-inf,7.97
651,CNN_model,6 hours,0.17,1.66,2.03,1.57,1.0,-410.12,4.11
651,CNN_model,12 hours,0.86,1.19,1.59,1.83,0.97,0.64,2.53
651,CNN_model,24 hours,0.85,1.5,1.94,1.78,0.88,0.46,3.77
651,CNN_model,36 hours,0.84,1.82,2.31,1.79,0.89,0.46,5.33
651,CNN_model,72 hours,0.87,2.0,2.7,1.77,0.72,0.43,7.28
651,CNN_model,120 hours,0.87,1.93,2.58,1.78,0.6,0.3,6.67
175,CNN_model,3 hours,0.0,8.43,8.43,2.0,,-inf,71.02
175,CNN_model,6 hours,0.05,6.7,6.92,1.65,-1.0,-2128.34,47.91
175,CNN_model,12 hours,0.08,4.53,5.17,1.76,-0.56,-1584.18,26.75
175,CNN_model,24 hours,0.69,3.58,4.23,1.77,0.53,-3.51,17.88
175,CNN_model,36 hours,0.78,2.67,3.52,1.75,0.31,-0.99,12.4
175,CNN_model,72 hours,0.86,1.84,2.62,1.75,0.58,-0.05,6.84
175,CNN_model,120 hours,0.87,1.59,2.23,1.74,0.67,0.31,4.98
1148,CNN_model,3 hours,0.0,2.12,2.12,2.0,,-inf,4.51
1148,CNN_model,6 hours,0.72,2.78,2.86,1.3,1.0,0.33,8.18
1148,CNN_model,12 hours,0.76,4.39,4.74,1.73,0.95,0.2,22.44
1148,CNN_model,24 hours,0.8,3.59,3.93,1.68,0.9,0.48,15.41
1148,CNN_model,36 hours,0.81,3.67,4.16,1.71,0.92,0.48,17.29
1148,CNN_model,72 hours,0.84,3.12,3.67,1.71,0.87,0.51,13.5
1148,CNN_model,120 hours,0.86,2.74,3.31,1.78,0.67,0.39,10.94
355,CNN_model,3 hours,0.0,0.52,0.52,2.0,,-inf,0.27
355,CNN_model,6 hours,0.28,0.92,1.0,1.5,1.0,-43.49,1.0
355,CNN_model,12 hours,0.83,1.81,2.04,1.76,0.94,0.71,4.15
355,CNN_model,24 hours,0.8,2.9,3.32,1.76,0.61,0.23,11.05
355,CNN_model,36 hours,0.83,2.4,2.84,1.77,0.7,0.31,8.07
355,CNN_model,72 hours,0.85,2.1,2.57,1.77,0.73,0.19,6.59
355,CNN_model,120 hours,0.87,1.8,2.26,1.75,0.75,0.28,5.12
939,CNN_model,3 hours,0.0,2.95,2.95,2.0,,-inf,8.7
939,CNN_model,6 hours,0.14,2.59,2.61,1.14,1.0,-169.92,6.84
939,CNN_model,12 hours,0.8,1.94,2.21,1.84,0.81,0.37,4.89
939,CNN_model,24 hours,0.82,2.05,2.24,1.82,0.85,0.51,5.04
939,CNN_model,36 hours,0.85,1.73,1.96,1.83,0.88,0.59,3.85
939,CNN_model,72 hours,0.85,1.96,2.22,1.82,0.89,0.54,4.91
939,CNN_model,120 hours,0.86,1.89,2.23,1.82,0.91,0.59,4.99
11,CNN_model,3 hours,0.0,1.55,1.55,2.0,,-inf,2.41
11,CNN_model,6 hours,0.42,2.62,2.83,0.35,-1.0,-10.09,8.01
11,CNN_model,12 hours,0.67,3.81,4.06,1.65,0.93,-1.17,16.46
11,CNN_model,24 hours,0.71,3.46,3.81,1.66,0.86,-0.91,14.49
