Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
783,CNN_model,3 hours,0.0,1.89,1.89,2.0,,-inf,3.56
783,CNN_model,6 hours,0.87,1.0,1.34,1.7,1.0,0.79,1.79
783,CNN_model,12 hours,0.94,0.62,0.96,1.79,0.99,0.93,0.93
783,CNN_model,24 hours,0.91,1.05,1.47,1.79,0.97,0.84,2.16
783,CNN_model,36 hours,0.9,1.18,1.57,1.79,0.98,0.82,2.45
783,CNN_model,72 hours,0.91,1.08,1.41,1.8,0.97,0.86,1.98
783,CNN_model,120 hours,0.91,1.22,1.67,1.8,0.88,0.77,2.79
1046,CNN_model,3 hours,0.0,1.52,1.52,2.0,,-inf,2.3
1046,CNN_model,6 hours,0.0,0.84,1.08,1.38,,-inf,1.16
1046,CNN_model,12 hours,0.85,0.66,0.84,1.69,0.92,0.69,0.71
1046,CNN_model,24 hours,0.89,0.56,0.76,1.71,0.93,0.8,0.57
1046,CNN_model,36 hours,0.9,0.68,0.91,1.73,0.93,0.8,0.83
1046,CNN_model,72 hours,0.84,1.45,1.81,1.73,0.84,0.3,3.28
1046,CNN_model,120 hours,0.8,2.51,3.08,1.77,0.72,-0.46,9.48
590,CNN_model,3 hours,0.0,2.47,2.47,2.0,,-inf,6.1
590,CNN_model,6 hours,0.71,2.87,2.9,1.16,1.0,0.29,8.41
590,CNN_model,12 hours,0.86,1.68,2.08,1.78,0.83,0.67,4.34
590,CNN_model,24 hours,0.9,1.19,1.58,1.78,0.86,0.74,2.49
590,CNN_model,36 hours,0.93,0.83,1.29,1.79,0.91,0.83,1.67
590,CNN_model,72 hours,0.89,1.5,2.0,1.78,0.83,0.58,4.0
590,CNN_model,120 hours,0.88,1.68,2.12,1.78,0.83,0.49,4.48
380,CNN_model,3 hours,0.0,0.33,0.33,2.0,,-inf,0.11
380,CNN_model,6 hours,0.78,1.98,2.58,1.37,1.0,0.15,6.68
380,CNN_model,12 hours,0.74,2.14,2.47,1.54,0.86,-0.08,6.12
380,CNN_model,24 hours,0.84,1.49,1.95,1.64,0.79,0.51,3.82
380,CNN_model,36 hours,0.86,1.23,1.7,1.67,0.73,0.52,2.91
380,CNN_model,72 hours,0.89,1.24,1.58,1.71,0.82,0.65,2.51
380,CNN_model,120 hours,0.89,1.52,1.85,1.74,0.82,0.64,3.41
775,CNN_model,3 hours,0.0,1.22,1.22,2.0,,-inf,1.49
775,CNN_model,6 hours,0.88,0.71,0.87,1.71,1.0,0.87,0.76
775,CNN_model,12 hours,0.92,0.78,0.89,1.77,0.99,0.93,0.79
775,CNN_model,24 hours,0.93,0.72,0.91,1.8,0.97,0.92,0.84
775,CNN_model,36 hours,0.94,0.69,0.87,1.8,0.98,0.93,0.76
775,CNN_model,72 hours,0.93,0.85,1.12,1.8,0.96,0.9,1.26
775,CNN_model,120 hours,0.93,0.79,1.04,1.8,0.97,0.92,1.08
415,CNN_model,3 hours,0.0,4.8,4.8,2.0,,-inf,23.01
415,CNN_model,6 hours,0.42,4.45,4.47,1.71,1.0,-6.79,19.95
415,CNN_model,12 hours,0.58,3.42,3.61,1.79,0.97,-3.53,13.07
415,CNN_model,24 hours,0.78,2.7,2.93,1.82,0.94,0.14,8.57
415,CNN_model,36 hours,0.8,2.81,3.12,1.81,0.92,0.28,9.75
415,CNN_model,72 hours,0.8,2.89,3.07,1.81,0.94,0.09,9.43
415,CNN_model,120 hours,0.79,3.21,3.52,1.8,0.87,-0.73,12.37
1402,CNN_model,3 hours,0.0,0.85,0.85,2.0,,-inf,0.73
1402,CNN_model,6 hours,0.28,0.59,0.65,0.05,-1.0,-41.06,0.42
1402,CNN_model,12 hours,0.79,1.37,1.96,1.0,0.33,-0.32,3.83
1402,CNN_model,24 hours,0.85,1.36,1.84,1.7,0.76,0.39,3.38
1402,CNN_model,36 hours,0.82,1.6,1.99,1.68,0.7,-0.05,3.95
1402,CNN_model,72 hours,0.82,2.13,2.57,1.74,0.3,-0.57,6.59
1402,CNN_model,120 hours,0.79,3.9,4.79,1.8,0.3,-1.06,22.98
1395,CNN_model,3 hours,0.0,0.93,0.93,2.0,,-inf,0.86
1395,CNN_model,6 hours,0.57,1.9,2.13,0.18,1.0,-2.77,4.56
1395,CNN_model,12 hours,0.57,3.43,3.81,1.77,0.76,-5.96,14.55
1395,CNN_model,24 hours,0.67,2.85,3.15,1.75,0.81,-2.55,9.91
1395,CNN_model,36 hours,0.77,2.44,2.8,1.73,0.74,-0.52,7.82
1395,CNN_model,72 hours,0.77,2.62,3.16,1.75,0.6,-1.56,9.99
1395,CNN_model,120 hours,0.78,3.94,4.66,1.77,0.51,-1.97,21.75
1271,CNN_model,3 hours,0.0,2.62,2.62,2.0,,-inf,6.87
1271,CNN_model,6 hours,0.45,1.51,1.87,1.63,1.0,-20.96,3.51
1271,CNN_model,12 hours,0.67,1.78,1.98,1.64,0.83,-1.11,3.94
1271,CNN_model,24 hours,0.85,1.15,1.46,1.75,0.88,0.46,2.13
1271,CNN_model,36 hours,0.87,1.33,1.56,1.74,0.89,0.48,2.44
1271,CNN_model,72 hours,0.89,1.42,1.73,1.76,0.83,0.51,2.98
1271,CNN_model,120 hours,0.88,1.72,2.11,1.77,0.69,0.41,4.44
351,CNN_model,3 hours,0.0,4.23,4.23,2.0,,-inf,17.93
351,CNN_model,6 hours,0.45,4.32,4.32,1.69,1.0,-5.09,18.64
351,CNN_model,12 hours,0.7,3.3,3.47,1.7,0.96,-0.62,12.03
351,CNN_model,24 hours,0.77,2.68,2.99,1.73,0.89,0.19,8.91
351,CNN_model,36 hours,0.8,2.84,3.11,1.72,0.6,0.33,9.66
351,CNN_model,72 hours,0.86,1.99,2.46,1.74,0.67,0.44,6.05
351,CNN_model,120 hours,0.89,1.51,2.03,1.73,0.74,0.53,4.12
783,LSTM_model,3 hours,0.0,2.31,2.31,2.0,,-inf,5.34
783,LSTM_model,6 hours,0.84,1.25,1.64,1.69,1.0,0.68,2.69
783,LSTM_model,12 hours,0.93,0.77,1.18,1.79,0.99,0.89,1.39
783,LSTM_model,24 hours,0.9,1.17,1.53,1.8,0.98,0.83,2.33
783,LSTM_model,36 hours,0.88,1.44,1.86,1.79,0.98,0.74,3.46
783,LSTM_model,72 hours,0.86,1.79,2.22,1.78,0.97,0.65,4.94
783,LSTM_model,120 hours,0.87,1.65,2.02,1.78,0.92,0.67,4.07
1046,LSTM_model,3 hours,0.0,0.29,0.29,2.0,,-inf,0.09
1046,LSTM_model,6 hours,0.0,0.4,0.41,0.89,,-inf,0.17
1046,LSTM_model,12 hours,0.89,0.44,0.45,1.67,0.99,0.91,0.2
1046,LSTM_model,24 hours,0.9,0.49,0.54,1.7,0.96,0.9,0.29
1046,LSTM_model,36 hours,0.93,0.47,0.53,1.73,0.97,0.93,0.29
1046,LSTM_model,72 hours,0.86,1.23,1.71,1.73,0.79,0.37,2.92
1046,LSTM_model,120 hours,0.86,1.74,2.31,1.75,0.77,0.18,5.33
590,LSTM_model,3 hours,0.0,1.99,1.99,2.0,,-inf,3.95
590,LSTM_model,6 hours,0.71,2.83,2.96,1.21,1.0,0.27,8.75
590,LSTM_model,12 hours,0.83,2.02,2.27,1.78,0.83,0.6,5.17
590,LSTM_model,24 hours,0.89,1.27,1.67,1.79,0.85,0.71,2.77
590,LSTM_model,36 hours,0.89,1.29,1.57,1.79,0.87,0.75,2.45
590,LSTM_model,72 hours,0.9,1.28,1.53,1.79,0.87,0.75,2.35
590,LSTM_model,120 hours,0.91,1.16,1.48,1.79,0.87,0.75,2.18
380,LSTM_model,3 hours,0.0,0.74,0.74,2.0,,-inf,0.55
380,LSTM_model,6 hours,0.81,1.41,1.56,1.6,1.0,0.69,2.45
380,LSTM_model,12 hours,0.83,1.26,1.48,1.64,0.9,0.61,2.2
380,LSTM_model,24 hours,0.89,0.92,1.15,1.75,0.96,0.83,1.33
380,LSTM_model,36 hours,0.89,0.9,1.09,1.74,0.9,0.8,1.19
380,LSTM_model,72 hours,0.85,1.67,2.12,1.76,0.79,0.38,4.51
380,LSTM_model,120 hours,0.86,2.06,2.62,1.76,0.79,0.27,6.88
775,LSTM_model,3 hours,0.0,0.82,0.82,2.0,,-inf,0.67
775,LSTM_model,6 hours,0.87,0.71,0.71,1.68,1.0,0.92,0.51
775,LSTM_model,12 hours,0.93,0.6,0.63,1.79,0.99,0.96,0.39
775,LSTM_model,24 hours,0.92,0.72,0.83,1.8,0.98,0.94,0.69
775,LSTM_model,36 hours,0.92,0.87,1.19,1.79,0.96,0.88,1.41
775,LSTM_model,72 hours,0.89,1.38,1.83,1.78,0.93,0.74,3.34
775,LSTM_model,120 hours,0.87,1.66,2.08,1.78,0.94,0.66,4.33
415,LSTM_model,3 hours,0.0,3.88,3.88,2.0,,-inf,15.08
415,LSTM_model,6 hours,0.46,3.78,3.78,1.67,1.0,-4.59,14.32
415,LSTM_model,12 hours,0.62,2.79,2.96,1.78,0.97,-2.04,8.79
415,LSTM_model,24 hours,0.83,2.01,2.31,1.78,0.82,0.47,5.33
415,LSTM_model,36 hours,0.84,2.15,2.48,1.77,0.81,0.54,6.13
415,LSTM_model,72 hours,0.91,1.28,1.78,1.78,0.86,0.69,3.19
415,LSTM_model,120 hours,0.91,1.25,1.7,1.78,0.82,0.6,2.88
1402,LSTM_model,3 hours,0.0,1.26,1.26,2.0,,-inf,1.59
1402,LSTM_model,6 hours,0.12,1.58,1.61,0.93,1.0,-259.34,2.6
1402,LSTM_model,12 hours,0.65,2.35,2.6,1.3,0.88,-1.33,6.76
1402,LSTM_model,24 hours,0.69,3.04,3.24,1.65,0.91,-0.88,10.48
1402,LSTM_model,36 hours,0.66,3.53,3.75,1.66,0.77,-2.73,14.03
1402,LSTM_model,72 hours,0.79,2.51,2.96,1.67,0.63,-1.08,8.75
1402,LSTM_model,120 hours,0.85,2.42,2.86,1.67,0.76,0.26,8.19
1395,LSTM_model,3 hours,0.0,1.15,1.15,2.0,,-inf,1.33
1395,LSTM_model,6 hours,0.65,1.17,1.17,0.77,-1.0,-0.13,1.37
1395,LSTM_model,12 hours,0.72,1.62,1.68,1.72,0.77,-0.35,2.81
1395,LSTM_model,24 hours,0.8,1.41,1.6,1.7,0.8,0.09,2.55
1395,LSTM_model,36 hours,0.87,1.22,1.44,1.72,0.8,0.6,2.08
1395,LSTM_model,72 hours,0.84,1.54,1.88,1.72,0.56,0.09,3.54
1395,LSTM_model,120 hours,0.88,1.78,2.29,1.72,0.65,0.28,5.26
1271,LSTM_model,3 hours,0.0,0.87,0.87,2.0,,-inf,0.75
1271,LSTM_model,6 hours,0.61,0.58,0.65,1.27,1.0,-1.63,0.42
1271,LSTM_model,12 hours,0.76,1.1,1.23,1.44,0.95,0.18,1.52
1271,LSTM_model,24 hours,0.85,1.11,1.23,1.6,0.99,0.62,1.51
1271,LSTM_model,36 hours,0.85,1.47,1.69,1.62,0.94,0.39,2.86
1271,LSTM_model,72 hours,0.88,1.5,1.81,1.72,0.85,0.46,3.27
1271,LSTM_model,120 hours,0.89,1.65,2.04,1.75,0.7,0.44,4.18
351,LSTM_model,3 hours,0.0,1.58,1.58,2.0,,-inf,2.51
351,LSTM_model,6 hours,0.67,1.72,1.72,1.7,1.0,0.03,2.97
351,LSTM_model,12 hours,0.8,1.84,1.85,1.8,1.0,0.54,3.43
351,LSTM_model,24 hours,0.83,1.9,2.1,1.79,0.97,0.6,4.39
351,LSTM_model,36 hours,0.85,2.05,2.38,1.79,0.8,0.61,5.66
351,LSTM_model,72 hours,0.89,1.48,1.9,1.79,0.82,0.67,3.6
351,LSTM_model,120 hours,0.89,1.5,1.84,1.79,0.83,0.62,3.39
783,CNN_LSTM_model,3 hours,0.0,2.84,2.84,2.0,,-inf,8.05
