Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
6786,CNN_model,3 hours,0.52,3.14,3.43,1.84,-0.74,-4.89,11.78
6786,CNN_model,6 hours,0.85,3.62,4.07,1.94,0.86,0.69,16.57
6786,CNN_model,12 hours,0.88,7.66,9.29,1.97,0.98,0.76,86.34
6786,CNN_model,24 hours,0.88,11.19,12.44,1.98,0.97,0.75,154.65
6786,CNN_model,36 hours,0.82,18.89,22.51,1.98,0.83,-0.03,506.7
6786,CNN_model,72 hours,0.77,29.52,37.37,1.98,0.46,-1.81,1396.25
6786,CNN_model,120 hours,0.81,37.36,45.93,1.98,0.32,-0.92,2109.8
3772,CNN_model,3 hours,0.22,2.28,2.65,1.79,1.0,-125.57,7.03
3772,CNN_model,6 hours,0.46,4.55,5.28,1.91,0.98,-22.17,27.83
3772,CNN_model,12 hours,0.64,9.04,10.56,1.97,0.99,-4.3,111.42
3772,CNN_model,24 hours,0.66,20.21,24.02,1.98,0.55,-5.69,576.96
3772,CNN_model,36 hours,0.59,35.19,42.71,1.98,-0.23,-7.93,1824.55
3772,CNN_model,72 hours,0.45,62.96,71.09,1.99,-0.23,-29.93,5053.19
3772,CNN_model,120 hours,0.5,87.49,96.25,1.99,-0.39,-36.1,9263.41
986,CNN_model,3 hours,0.5,1.94,2.41,1.71,-0.55,-25.12,5.8
986,CNN_model,6 hours,0.81,2.17,2.41,1.9,0.95,0.48,5.8
986,CNN_model,12 hours,0.9,3.79,4.24,1.97,1.0,0.87,17.98
986,CNN_model,24 hours,0.92,6.19,7.21,1.98,0.99,0.91,51.93
986,CNN_model,36 hours,0.93,5.56,6.52,1.98,0.99,0.91,42.52
986,CNN_model,72 hours,0.88,9.6,11.55,1.98,0.88,0.74,133.5
986,CNN_model,120 hours,0.79,22.89,29.48,1.99,0.57,-0.82,869.3
2527,CNN_model,3 hours,0.55,0.86,0.9,1.71,0.86,-2.63,0.81
2527,CNN_model,6 hours,0.67,3.36,4.39,1.93,0.96,-5.13,19.26
2527,CNN_model,12 hours,0.89,2.86,3.6,1.95,0.95,0.74,12.98
2527,CNN_model,24 hours,0.9,4.29,5.23,1.97,0.97,0.81,27.39
2527,CNN_model,36 hours,0.84,7.55,9.35,1.98,0.93,0.32,87.45
