Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
1439,CNN_model,3 hours,0.67,4.01,4.64,1.94,1.0,-1.25,21.51
1439,CNN_model,6 hours,0.93,3.54,4.13,1.98,0.99,0.95,17.07
1439,CNN_model,12 hours,0.91,7.26,8.46,1.99,0.99,0.91,71.62
1439,CNN_model,24 hours,0.87,11.47,12.68,1.98,0.97,0.7,160.83
1439,CNN_model,36 hours,0.85,13.41,14.82,1.99,0.97,0.63,219.56
1439,CNN_model,72 hours,0.82,18.03,19.75,1.99,0.94,0.25,390.08
1439,CNN_model,120 hours,0.85,17.4,18.86,1.99,0.96,0.53,355.74
4124,CNN_model,3 hours,0.88,1.68,1.94,1.91,1.0,0.85,3.77
4124,CNN_model,6 hours,0.92,2.99,3.41,1.97,0.99,0.93,11.61
4124,CNN_model,12 hours,0.88,5.86,7.02,1.97,0.96,0.73,49.25
4124,CNN_model,24 hours,0.81,10.85,12.38,1.98,0.91,0.24,153.24
4124,CNN_model,36 hours,0.77,15.46,18.19,1.98,0.83,-0.63,330.83
4124,CNN_model,72 hours,0.61,36.24,43.42,1.99,0.47,-11.02,1885.18
4124,CNN_model,120 hours,0.52,52.99,60.04,1.99,0.41,-21.57,3604.76
8309,CNN_model,3 hours,0.75,8.45,8.71,1.97,0.98,0.27,75.9
8309,CNN_model,6 hours,0.82,14.72,16.11,1.99,0.99,0.44,259.63
8309,CNN_model,12 hours,0.85,19.2,20.26,1.99,1.0,0.69,410.59
8309,CNN_model,24 hours,0.83,20.77,21.36,1.99,0.99,0.57,456.3
8309,CNN_model,36 hours,0.8,26.68,28.83,1.99,0.97,0.23,830.99
8309,CNN_model,72 hours,0.72,46.24,51.54,1.99,0.81,-1.64,2656.45
8309,CNN_model,120 hours,0.68,57.28,62.12,1.99,0.81,-3.13,3858.63
4357,CNN_model,3 hours,0.07,24.85,24.85,1.73,0.94,-925.44,617.62
4357,CNN_model,6 hours,0.46,24.9,24.95,1.95,0.98,-10.57,622.75
4357,CNN_model,12 hours,0.66,30.87,31.57,1.98,1.0,-1.08,996.53
4357,CNN_model,24 hours,0.66,35.22,35.86,1.98,0.99,-1.11,1285.86
4357,CNN_model,36 hours,0.69,47.76,51.71,1.98,0.71,-2.52,2674.29
4357,CNN_model,72 hours,0.62,87.32,97.72,1.98,-0.29,-7.2,9548.3
4357,CNN_model,120 hours,0.57,135.83,152.45,1.99,-0.7,-14.34,23240.09
1464,CNN_model,3 hours,0.75,1.5,1.77,1.9,0.98,0.12,3.13
1464,CNN_model,6 hours,0.94,2.79,3.15,1.98,1.0,0.96,9.91
1464,CNN_model,12 hours,0.96,2.53,2.87,1.99,1.0,0.99,8.21
1464,CNN_model,24 hours,0.96,2.75,3.04,1.98,1.0,0.98,9.24
1464,CNN_model,36 hours,0.95,4.23,5.12,1.98,0.99,0.95,26.19
1464,CNN_model,72 hours,0.94,5.64,7.0,1.98,0.97,0.9,48.94
1464,CNN_model,120 hours,0.94,7.88,10.32,1.99,0.96,0.88,106.42
6271,CNN_model,3 hours,0.88,4.05,4.25,1.96,1.0,0.88,18.06
6271,CNN_model,6 hours,0.93,6.49,7.4,1.99,0.99,0.93,54.71
6271,CNN_model,12 hours,0.9,13.49,15.69,1.99,1.0,0.86,246.12
6271,CNN_model,24 hours,0.88,17.31,18.68,1.99,0.99,0.77,348.84
6271,CNN_model,36 hours,0.89,17.53,18.57,1.99,0.99,0.81,344.89
6271,CNN_model,72 hours,0.86,22.18,23.5,1.99,0.99,0.67,552.46
6271,CNN_model,120 hours,0.82,30.95,35.22,1.99,0.92,0.18,1240.48
3839,CNN_model,3 hours,0.7,2.12,2.61,1.52,0.56,-0.91,6.8
3839,CNN_model,6 hours,0.79,5.95,7.4,1.77,0.96,0.07,54.72
3839,CNN_model,12 hours,0.69,12.18,14.22,1.84,0.24,-1.44,202.11
3839,CNN_model,24 hours,0.58,23.08,26.27,1.96,-0.21,-10.42,690.26
3839,CNN_model,36 hours,0.51,30.56,34.07,1.98,-0.06,-26.45,1160.93
3839,CNN_model,72 hours,0.62,76.59,93.23,1.99,-0.87,-8.65,8692.51
3839,CNN_model,120 hours,0.53,111.45,126.41,1.99,-0.72,-16.52,15980.39
2209,CNN_model,3 hours,0.42,5.58,5.62,1.82,0.93,-9.94,31.62
2209,CNN_model,6 hours,0.62,6.15,6.33,1.9,0.93,-1.52,40.04
2209,CNN_model,12 hours,0.59,7.12,7.37,1.9,0.85,-3.98,54.25
2209,CNN_model,24 hours,0.68,5.7,6.3,1.89,0.72,-1.74,39.72
2209,CNN_model,36 hours,0.79,8.48,9.81,1.96,0.89,-1.46,96.33
2209,CNN_model,72 hours,0.92,6.6,8.64,1.98,0.93,0.76,74.7
2209,CNN_model,120 hours,0.86,14.81,19.14,1.98,0.78,0.09,366.18
7114,CNN_model,3 hours,0.64,7.79,7.87,1.95,0.99,-0.79,61.98
7114,CNN_model,6 hours,0.8,10.99,11.49,1.98,1.0,0.49,132.08
7114,CNN_model,12 hours,0.8,12.61,13.03,1.98,1.0,0.44,169.68
7114,CNN_model,24 hours,0.84,9.41,10.23,1.98,0.98,0.52,104.55
7114,CNN_model,36 hours,0.82,11.28,12.23,1.98,0.98,0.29,149.59
7114,CNN_model,72 hours,0.77,15.85,17.46,1.98,0.88,-0.44,304.8
7114,CNN_model,120 hours,0.82,19.97,23.49,1.98,0.78,-0.44,551.59
8072,CNN_model,3 hours,0.65,10.72,10.85,1.96,0.99,-0.45,117.68
8072,CNN_model,6 hours,0.84,12.63,12.92,1.99,1.0,0.71,166.97
8072,CNN_model,12 hours,0.84,18.48,19.72,1.99,1.0,0.69,388.81
8072,CNN_model,24 hours,0.82,21.62,22.44,1.99,0.99,0.46,503.52
8072,CNN_model,36 hours,0.78,30.78,34.97,1.99,0.91,-0.3,1222.83
8072,CNN_model,72 hours,0.69,50.79,60.02,1.99,0.56,-4.03,3602.75
8072,CNN_model,120 hours,0.66,69.18,83.33,1.99,0.05,-8.66,6943.41
1439,LSTM_model,3 hours,0.52,8.47,9.99,1.96,0.95,-9.43,99.71
1439,LSTM_model,6 hours,0.83,10.2,11.13,1.98,0.98,0.63,123.95
1439,LSTM_model,12 hours,0.92,6.78,8.37,1.99,0.98,0.91,70.14
1439,LSTM_model,24 hours,0.92,6.33,7.3,1.98,0.95,0.9,53.3
1439,LSTM_model,36 hours,0.91,7.55,8.86,1.98,0.93,0.87,78.53
1439,LSTM_model,72 hours,0.91,8.21,10.3,1.98,0.9,0.8,106.13
1439,LSTM_model,120 hours,0.89,12.74,16.1,1.98,0.87,0.66,259.07
4124,LSTM_model,3 hours,0.57,9.02,9.05,1.93,0.99,-2.29,81.85
4124,LSTM_model,6 hours,0.83,7.05,7.36,1.97,1.0,0.67,54.1
4124,LSTM_model,12 hours,0.88,5.66,6.2,1.97,0.99,0.79,38.44
4124,LSTM_model,24 hours,0.9,4.92,5.36,1.98,0.95,0.86,28.74
4124,LSTM_model,36 hours,0.91,4.7,5.13,1.98,0.95,0.87,26.35
4124,LSTM_model,72 hours,0.81,13.79,20.51,1.98,0.51,-1.68,420.72
4124,LSTM_model,120 hours,0.7,27.08,36.66,1.99,0.18,-7.42,1344.28
8309,LSTM_model,3 hours,0.55,20.33,20.48,1.96,0.98,-3.03,419.38
8309,LSTM_model,6 hours,0.72,24.85,25.47,1.99,0.99,-0.4,648.51
8309,LSTM_model,12 hours,0.8,26.87,27.49,1.99,0.99,0.43,755.54
8309,LSTM_model,24 hours,0.8,26.63,27.44,1.99,0.98,0.29,753.11
8309,LSTM_model,36 hours,0.74,38.68,42.75,1.99,0.87,-0.69,1827.85
8309,LSTM_model,72 hours,0.68,55.27,59.85,1.99,0.75,-2.56,3582.38
8309,LSTM_model,120 hours,0.66,60.16,63.69,1.99,0.77,-3.34,4055.83
4357,LSTM_model,3 hours,0.12,14.82,14.86,1.27,-0.72,-330.34,220.89
4357,LSTM_model,6 hours,0.51,22.16,23.85,1.79,-0.91,-9.58,569.04
4357,LSTM_model,12 hours,0.62,40.32,44.93,1.89,0.69,-3.22,2018.88
4357,LSTM_model,24 hours,0.55,58.65,63.12,1.91,0.41,-5.55,3984.57
4357,LSTM_model,36 hours,0.59,78.2,85.48,1.97,-0.54,-8.63,7307.38
4357,LSTM_model,72 hours,0.53,123.3,133.93,1.98,-0.8,-14.41,17936.26
4357,LSTM_model,120 hours,0.51,167.58,180.88,1.99,-0.88,-20.59,32718.25
1464,LSTM_model,3 hours,0.35,9.38,10.52,1.95,0.92,-30.12,110.64
1464,LSTM_model,6 hours,0.78,11.68,12.43,1.98,0.97,0.31,154.57
1464,LSTM_model,12 hours,0.89,8.17,9.82,1.99,0.98,0.86,96.42
1464,LSTM_model,24 hours,0.92,6.56,7.99,1.98,0.98,0.88,63.83
1464,LSTM_model,36 hours,0.88,11.17,13.97,1.98,0.93,0.65,195.07
1464,LSTM_model,72 hours,0.87,14.1,17.14,1.98,0.9,0.43,293.91
1464,LSTM_model,120 hours,0.86,22.8,28.63,1.98,0.82,0.11,819.5
6271,LSTM_model,3 hours,0.71,12.31,12.66,1.96,1.0,-0.05,160.39
6271,LSTM_model,6 hours,0.85,14.39,15.24,1.99,0.99,0.72,232.2
6271,LSTM_model,12 hours,0.87,19.17,20.18,1.99,1.0,0.77,407.09
6271,LSTM_model,24 hours,0.85,20.93,21.89,1.99,0.99,0.68,479.09
6271,LSTM_model,36 hours,0.84,26.89,29.11,1.99,0.97,0.55,847.38
6271,LSTM_model,72 hours,0.82,31.67,34.09,1.99,0.95,0.3,1162.24
6271,LSTM_model,120 hours,0.78,40.91,44.03,1.99,0.91,-0.28,1938.28
3839,LSTM_model,3 hours,0.73,1.64,1.88,1.74,0.91,0.0,3.55
3839,LSTM_model,6 hours,0.82,4.7,5.87,1.88,0.98,0.42,34.43
3839,LSTM_model,12 hours,0.73,10.05,11.81,1.87,0.75,-0.68,139.4
3839,LSTM_model,24 hours,0.6,22.14,26.06,1.97,-0.13,-10.23,678.87
3839,LSTM_model,36 hours,0.53,28.1,31.44,1.97,-0.01,-22.37,988.21
3839,LSTM_model,72 hours,0.64,72.35,88.78,1.99,-0.87,-7.75,7882.48
3839,LSTM_model,120 hours,0.55,104.24,118.59,1.99,-0.75,-14.42,14063.04
2209,LSTM_model,3 hours,0.77,1.33,1.62,1.86,0.97,0.09,2.64
2209,LSTM_model,6 hours,0.9,1.13,1.34,1.93,0.98,0.89,1.79
2209,LSTM_model,12 hours,0.8,2.75,3.31,1.93,0.84,-0.01,10.96
2209,LSTM_model,24 hours,0.77,3.69,4.27,1.95,0.79,-0.26,18.23
2209,LSTM_model,36 hours,0.87,4.52,5.32,1.95,0.7,0.28,28.3
2209,LSTM_model,72 hours,0.87,11.01,14.82,1.98,0.59,0.3,219.58
2209,LSTM_model,120 hours,0.84,19.07,26.76,1.98,0.18,-0.78,716.27
7114,LSTM_model,3 hours,0.5,13.92,14.08,1.96,0.99,-4.72,198.16
7114,LSTM_model,6 hours,0.73,16.34,16.61,1.98,1.0,-0.07,275.94
7114,LSTM_model,12 hours,0.72,18.92,19.31,1.98,1.0,-0.22,373.05
7114,LSTM_model,24 hours,0.77,15.16,15.92,1.98,0.99,-0.18,253.52
7114,LSTM_model,36 hours,0.73,19.0,20.51,1.98,0.97,-0.99,420.71
7114,LSTM_model,72 hours,0.67,25.47,27.82,1.98,0.81,-2.65,774.0
7114,LSTM_model,120 hours,0.73,34.31,39.8,1.98,0.43,-3.12,1584.29
8072,LSTM_model,3 hours,0.51,18.94,19.03,1.96,0.98,-3.48,362.3
8072,LSTM_model,6 hours,0.75,21.47,21.9,1.99,0.99,0.18,479.5
8072,LSTM_model,12 hours,0.78,27.91,28.83,1.99,1.0,0.33,831.43
8072,LSTM_model,24 hours,0.78,28.38,28.94,1.99,0.99,0.1,837.73
8072,LSTM_model,36 hours,0.72,42.18,47.2,1.99,0.83,-1.37,2227.43
8072,LSTM_model,72 hours,0.66,58.23,65.96,1.99,0.51,-5.08,4351.0
8072,LSTM_model,120 hours,0.64,72.37,82.8,1.99,0.08,-8.54,6855.23
1439,CNN_LSTM_model,3 hours,0.53,6.17,6.2,1.91,1.0,-3.03,38.48
1439,CNN_LSTM_model,6 hours,0.9,5.62,6.29,1.98,0.98,0.88,39.52
1439,CNN_LSTM_model,12 hours,0.89,9.45,10.5,1.99,0.99,0.86,110.32
1439,CNN_LSTM_model,24 hours,0.85,13.72,14.82,1.98,0.97,0.6,219.76
1439,CNN_LSTM_model,36 hours,0.8,18.84,21.63,1.98,0.9,0.22,467.84
1439,CNN_LSTM_model,72 hours,0.74,28.63,31.6,1.99,0.84,-0.93,998.65
1439,CNN_LSTM_model,120 hours,0.78,28.09,30.98,1.99,0.87,-0.25,959.76
4124,CNN_LSTM_model,3 hours,0.89,1.57,1.78,1.92,0.98,0.87,3.16
4124,CNN_LSTM_model,6 hours,0.92,3.11,3.61,1.97,0.99,0.92,13.01
4124,CNN_LSTM_model,12 hours,0.92,3.64,3.96,1.97,1.0,0.91,15.68
4124,CNN_LSTM_model,24 hours,0.87,7.16,8.2,1.98,0.97,0.67,67.29
4124,CNN_LSTM_model,36 hours,0.8,13.44,16.97,1.98,0.85,-0.42,287.9
4124,CNN_LSTM_model,72 hours,0.62,36.45,44.99,1.99,0.51,-11.91,2024.39
4124,CNN_LSTM_model,120 hours,0.51,57.22,66.11,1.99,0.41,-26.36,4370.83
8309,CNN_LSTM_model,3 hours,0.6,16.96,17.35,1.97,0.99,-1.89,301.08
8309,CNN_LSTM_model,6 hours,0.71,27.21,29.35,1.99,1.0,-0.86,861.32
8309,CNN_LSTM_model,12 hours,0.73,39.71,42.43,1.99,1.0,-0.37,1799.93
