Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
6259,CNN_model,3 hours,0.68,8.79,8.8,1.96,1.0,-0.29,77.48
6259,CNN_model,6 hours,0.84,8.92,8.95,1.98,1.0,0.69,80.02
6259,CNN_model,12 hours,0.89,11.44,11.77,1.99,1.0,0.85,138.51
6259,CNN_model,24 hours,0.9,13.92,15.02,1.99,0.99,0.85,225.73
6259,CNN_model,36 hours,0.86,19.78,21.99,1.99,0.97,0.64,483.38
6259,CNN_model,72 hours,0.87,21.57,23.23,1.99,0.98,0.68,539.7
6259,CNN_model,120 hours,0.84,26.84,29.88,1.99,0.95,0.43,892.59
7827,CNN_model,3 hours,0.5,8.49,8.86,1.59,1.0,-6.2,78.42
7827,CNN_model,6 hours,0.8,5.25,6.46,1.91,0.88,0.08,41.78
7827,CNN_model,12 hours,0.85,5.78,6.78,1.96,0.94,0.58,45.97
7827,CNN_model,24 hours,0.83,7.94,10.41,1.97,0.51,-0.09,108.47
7827,CNN_model,36 hours,0.74,13.96,17.33,1.98,0.64,-2.31,300.41
7827,CNN_model,72 hours,0.77,20.79,24.15,1.99,0.87,-0.98,583.15
7827,CNN_model,120 hours,0.87,17.22,21.31,1.99,0.83,0.39,454.13
2384,CNN_model,3 hours,0.79,2.86,2.92,1.92,0.99,0.58,8.52
2384,CNN_model,6 hours,0.91,2.95,3.1,1.96,1.0,0.9,9.63
2384,CNN_model,12 hours,0.93,4.79,5.22,1.98,1.0,0.92,27.21
2384,CNN_model,24 hours,0.93,6.24,6.95,1.99,0.99,0.93,48.26
2384,CNN_model,36 hours,0.92,7.27,7.87,1.99,0.99,0.9,61.92
2384,CNN_model,72 hours,0.92,6.74,7.99,1.99,0.99,0.9,63.79
2384,CNN_model,120 hours,0.86,14.36,18.56,1.99,0.89,0.41,344.34
8655,CNN_model,3 hours,0.94,1.31,2.16,1.94,0.99,0.9,4.67
8655,CNN_model,6 hours,0.91,4.84,6.32,1.97,1.0,0.82,39.9
8655,CNN_model,12 hours,0.92,8.41,9.66,1.99,1.0,0.89,93.3
8655,CNN_model,24 hours,0.89,13.42,14.77,1.99,0.98,0.83,218.11
8655,CNN_model,36 hours,0.86,19.74,22.67,1.99,0.94,0.54,513.79
8655,CNN_model,72 hours,0.76,38.7,44.37,1.99,0.81,-0.69,1969.08
8655,CNN_model,120 hours,0.69,54.48,61.05,1.99,0.7,-2.95,3726.85
2457,CNN_model,3 hours,0.44,8.0,8.26,1.92,0.99,-10.37,68.2
2457,CNN_model,6 hours,0.67,9.35,9.58,1.96,0.99,-1.09,91.7
2457,CNN_model,12 hours,0.77,13.23,13.94,1.98,1.0,0.02,194.41
2457,CNN_model,24 hours,0.82,12.5,13.54,1.99,1.0,0.48,183.39
2457,CNN_model,36 hours,0.77,17.49,19.97,1.98,0.91,-0.36,398.82
2457,CNN_model,72 hours,0.72,24.53,27.73,1.99,0.85,-2.14,768.81
2457,CNN_model,120 hours,0.74,22.3,25.64,1.98,0.82,-1.47,657.6
3264,CNN_model,3 hours,0.35,7.82,7.99,0.12,-0.39,-22.95,63.88
3264,CNN_model,6 hours,0.38,10.63,11.16,1.78,-0.65,-24.9,124.44
3264,CNN_model,12 hours,0.33,16.25,17.41,1.95,0.49,-51.65,303.03
3264,CNN_model,24 hours,0.54,23.67,26.08,1.96,0.03,-14.76,680.33
3264,CNN_model,36 hours,0.5,36.84,42.4,1.98,-0.52,-20.62,1797.79
3264,CNN_model,72 hours,0.46,64.55,72.47,1.99,-0.44,-34.71,5251.57
3264,CNN_model,120 hours,0.44,83.72,91.25,1.99,-0.35,-36.01,8325.75
5848,CNN_model,3 hours,0.38,5.06,5.1,1.48,1.0,-15.73,26.02
5848,CNN_model,6 hours,0.76,3.46,3.88,1.93,0.98,-0.38,15.04
5848,CNN_model,12 hours,0.92,3.46,4.22,1.97,0.96,0.86,17.78
5848,CNN_model,24 hours,0.9,8.35,11.33,1.98,0.9,0.74,128.46
5848,CNN_model,36 hours,0.92,7.08,9.77,1.98,0.93,0.79,95.47
5848,CNN_model,72 hours,0.91,11.41,14.97,1.98,0.91,0.72,224.2
5848,CNN_model,120 hours,0.9,14.41,18.32,1.98,0.87,0.69,335.69
8891,CNN_model,3 hours,0.85,2.43,2.96,1.94,0.96,0.69,8.79
8891,CNN_model,6 hours,0.94,2.41,2.77,1.97,0.98,0.94,7.65
8891,CNN_model,12 hours,0.94,4.78,5.89,1.98,0.99,0.94,34.69
8891,CNN_model,24 hours,0.9,9.94,11.74,1.99,0.97,0.84,137.81
8891,CNN_model,36 hours,0.87,13.22,15.25,1.99,0.95,0.71,232.69
8891,CNN_model,72 hours,0.8,26.53,30.69,1.99,0.86,-0.01,941.89
8891,CNN_model,120 hours,0.74,38.08,42.56,1.99,0.8,-0.92,1811.69
2172,CNN_model,3 hours,0.72,4.09,4.88,1.71,0.94,-0.76,23.86
2172,CNN_model,6 hours,0.84,3.41,3.97,1.93,0.95,0.54,15.75
2172,CNN_model,12 hours,0.85,6.16,7.13,1.97,0.98,0.5,50.78
2172,CNN_model,24 hours,0.8,9.05,10.06,1.97,0.94,0.26,101.18
2172,CNN_model,36 hours,0.72,15.97,19.25,1.97,0.6,-2.26,370.4
2172,CNN_model,72 hours,0.59,28.19,31.77,1.98,0.54,-12.93,1009.61
2172,CNN_model,120 hours,0.76,25.56,28.49,1.98,0.75,-1.88,811.85
5200,CNN_model,3 hours,0.35,13.2,13.31,1.73,0.97,-20.54,177.14
5200,CNN_model,6 hours,0.55,11.63,11.87,1.94,0.94,-5.17,140.81
5200,CNN_model,12 hours,0.77,9.78,10.23,1.97,0.97,-0.22,104.63
5200,CNN_model,24 hours,0.87,13.05,15.48,1.98,0.85,0.66,239.78
5200,CNN_model,36 hours,0.87,13.1,15.11,1.98,0.84,0.61,228.22
